time,tls,cur_phase,main_green,q_main,q_side,rem_before,rem_after,extended
33.5,J1,0,0,0.0,2.0,8.5,8.5,0
33.5,J2,0,0,0.0,1.0,8.5,8.5,0
33.5,J3,0,0,0.0,1.0,8.5,8.5,0
34.0,J1,0,0,0.0,2.0,8.0,8.0,0
34.0,J2,0,0,0.0,1.0,8.0,8.0,0
34.0,J3,0,0,0.0,1.0,8.0,8.0,0
34.5,J1,0,0,1.0,2.0,7.5,7.5,0
34.5,J2,0,0,0.0,2.0,7.5,7.5,0
34.5,J3,0,0,0.0,1.0,7.5,7.5,0
35.0,J1,0,0,0.0,2.0,7.0,7.0,0
35.0,J2,0,0,0.0,2.0,7.0,7.0,0
35.0,J3,0,0,0.0,1.0,7.0,7.0,0
35.5,J1,0,0,0.0,2.0,6.5,6.5,0
35.5,J2,0,0,0.0,2.0,6.5,6.5,0
35.5,J3,0,0,0.0,1.0,6.5,6.5,0
36.0,J1,0,0,0.0,2.0,6.0,6.0,0
36.0,J2,0,0,0.0,2.0,6.0,6.0,0
36.0,J3,0,0,0.0,1.0,6.0,6.0,0
36.5,J1,0,0,0.0,2.0,5.5,5.5,0
36.5,J2,0,0,0.0,2.0,5.5,5.5,0
36.5,J3,0,0,0.0,2.0,5.5,5.5,0
37.0,J1,0,0,1.0,2.0,5.0,5.0,0
37.0,J2,0,0,0.0,2.0,5.0,5.0,0
37.0,J3,0,0,0.0,1.0,5.0,5.0,0
37.5,J1,0,0,0.0,2.0,4.5,4.5,0
37.5,J2,0,0,0.0,2.0,4.5,4.5,0
37.5,J3,0,0,0.0,1.0,4.5,4.5,0
38.0,J1,0,0,0.0,2.0,4.0,4.0,0
38.0,J2,0,0,0.0,2.0,4.0,4.0,0
38.0,J3,0,0,0.0,2.0,4.0,4.0,0
38.5,J1,0,0,0.0,2.0,3.5,3.5,0
38.5,J2,0,0,0.0,2.0,3.5,3.5,0
38.5,J3,0,0,0.0,2.0,3.5,3.5,0
39.0,J1,0,0,0.0,2.0,3.0,3.0,0
39.0,J2,0,0,0.0,2.0,3.0,3.0,0
39.0,J3,0,0,0.0,2.0,3.0,3.0,0
39.5,J1,0,0,1.0,2.0,2.5,2.5,0
39.5,J2,0,0,0.0,2.0,2.5,2.5,0
39.5,J3,0,0,0.0,2.0,2.5,2.5,0
40.0,J1,0,0,0.0,2.0,2.0,2.0,0
40.0,J2,0,0,0.0,2.0,2.0,2.0,0
40.0,J3,0,0,0.0,2.0,2.0,2.0,0
40.5,J1,0,0,0.0,2.0,1.5,1.5,0
40.5,J2,0,0,0.0,2.0,1.5,1.5,0
40.5,J3,0,0,0.0,2.0,1.5,1.5,0
41.0,J1,0,0,0.0,3.0,1.0,1.0,0
41.0,J2,0,0,0.0,2.0,1.0,1.0,0
41.0,J3,0,0,0.0,2.0,1.0,1.0,0
41.5,J1,0,0,0.0,2.0,0.5,0.5,0
41.5,J2,0,0,0.0,2.0,0.5,0.5,0
41.5,J3,0,0,0.0,2.0,0.5,0.5,0
42.0,J1,0,0,1.0,2.0,0.0,0.0,0
42.0,J2,0,0,0.0,2.0,0.0,0.0,0
